comuna,local,name,desc,icon,long,lat
14.0,Amalfi,Amalfi - Belgrano,,AR_Amalfi,-58.444661451503634,-34.56983436830342
1.0,Amalfi,Amalfi - Microcentro,,AR_Amalfi,-58.377218982204795,-34.60108855739236
2.0,Aroma Freddo,Aroma Freddo - Agüero,Wi-Fi,AR_Aroma Freddo,-58.40721999295056,-34.59168003872037
14.0,Aroma Freddo,Aroma Freddo - Armenia,Wi-Fi,AR_Aroma Freddo,-58.428050028160214,-34.5898599922657
3.0,Aroma Freddo,Aroma Freddo - Corrientes,Wi-Fi,AR_Aroma Freddo,-58.39233532547951,-34.60438935086131
1.0,Aroma Freddo,Aroma Freddo - Florida 628,Wi-Fi,AR_Aroma Freddo,-58.37540002539754,-34.600759986788034
1.0,Aroma Freddo,Aroma Freddo - Florida 963,Wi-Fi,AR_Aroma Freddo,-58.375370018184185,-34.59672996774316
2.0,Aroma Freddo,Aroma Freddo - Pueyrredón,Wi-Fi,AR_Aroma Freddo,-58.40284002944827,-34.59426996298134
2.0,Aroma Freddo,Aroma Freddo - Recoleta,Wi-Fi,AR_Aroma Freddo,-58.390709990635514,-34.587699975818396
2.0,Aroma Freddo,Aroma Freddo - Santa Fe,Wi-Fi,AR_Aroma Freddo,-58.38719068095088,-34.59576169028878
5.0,Balcarce,Balcarce - Almagro,,AR_Balcarce,-58.416894720867276,-34.6176590770483
1.0,Balcarce,Balcarce - Av. Corrientes,,AR_Balcarce,-58.378116600215435,-34.60350573062897
13.0,Balcarce,Balcarce - Belgrano,,AR_Balcarce,-58.46133045852184,-34.564817044883966
6.0,Balcarce,Balcarce - Caballito,,AR_Balcarce,-58.42868554405868,-34.6180216781795
1.0,Balcarce,Balcarce - Congreso,,AR_Balcarce,-58.39190692640841,-34.60897902958095
1.0,Balcarce,Balcarce - Lavalle,,AR_Balcarce,-58.376261768862605,-34.602215168997645
1.0,Balcarce,Balcarce - Monserrat,,AR_Balcarce,-58.391621271148324,-34.617790253832936
14.0,Balcarce,Balcarce - Palermo,,AR_Balcarce,-58.4131564758718,-34.5909409224987
6.0,Balcarce,Balcarce - Primera Junta,,AR_Balcarce,-58.442632192745805,-34.62144250050187
2.0,Balcarce,Balcarce - Recoleta,,AR_Balcarce,-58.39008352719247,-34.5993768889457
11.0,Bonafide,Bonafide - Agronomia,,AR_Bonafide,-58.48353814333677,-34.597786171361804
3.0,Bonafide,Bonafide - Almagro,,AR_Bonafide,-58.401759937405586,-34.609933979809284
3.0,Bonafide,Bonafide - Av. Cordoba,,AR_Bonafide,-58.3935409784317,-34.59975080564618
1.0,Bonafide,Bonafide - Barrio Norte,,AR_Bonafide,-58.38109443895519,-34.59947026334703
5.0,Bonafide,Bonafide - Boedo,,AR_Bonafide,-58.41596198268235,-34.62394416332245
5.0,Bonafide,Bonafide - Boedo II,,AR_Bonafide,-58.42032509855926,-34.62596906349063
14.0,Bonafide,Bonafide - Botánico,,AR_Bonafide,-58.41721951961517,-34.585895016789436
5.0,Bonafide,Bonafide - Caballito,,AR_Bonafide,-58.42950546182692,-34.615161437541246
7.0,Bonafide,Bonafide - Caballito1,,AR_Bonafide,-58.43581770546734,-34.634581971913576
6.0,Bonafide,Bonafide - Caballito2,,AR_Bonafide,-58.45304997637868,-34.625189965590835
6.0,Bonafide,Bonafide - Caballito3,,AR_Bonafide,-58.45033859834075,-34.62808080017567
13.0,Bonafide,Bonafide - Cabildo,,AR_Bonafide,-58.454107688739896,-34.56510303542018
13.0,Bonafide,Bonafide - Cabildo y Monroe,,AR_Bonafide,-58.45991240814328,-34.5582187268883
2.0,Bonafide,Bonafide - Callao,,AR_Bonafide,-58.39310017414391,-34.59867540746927
14.0,Bonafide,Bonafide - Charcas,,AR_Bonafide,-58.412520037963986,-34.59183996543288
3.0,Bonafide,Bonafide - Corrientes Once,,AR_Bonafide,-58.4053751360625,-34.60423277691007
11.0,Bonafide,Bonafide - Devoto Shopping,,AR_Bonafide,-58.5175300296396,-34.61165000684559
13.0,Bonafide,Bonafide - Elcano,,AR_Bonafide,-58.45900137908757,-34.572428818792105
1.0,Bonafide,Bonafide - Entre Ríos,,AR_Bonafide,-58.391648260876536,-34.614891121163964
7.0,Bonafide,Bonafide - Flores,,AR_Bonafide,-58.45529096201062,-34.626176012679935
7.0,Bonafide,Bonafide - Flores Oeste,,AR_Bonafide,-58.46952301450074,-34.63061121292412
7.0,Bonafide,Bonafide - Flores1,,AR_Bonafide,-58.455717181786895,-34.62621691636741
10.0,Bonafide,Bonafide - Floresta,,AR_Bonafide,-58.484909338876605,-34.63460451923311
5.0,Bonafide,Bonafide - Hospital Italiano,,AR_Bonafide,-58.42763353139162,-34.60596992634237
14.0,Bonafide,Bonafide - Jorge Newbery,,AR_Bonafide,-58.43575584702194,-34.568281285464764
13.0,Bonafide,Bonafide - Lacroze,,AR_Bonafide,-58.44545907340944,-34.57087464630604
14.0,Bonafide,Bonafide - Las Heras,,AR_Bonafide,-58.40172339230776,-34.58354573696852
1.0,Bonafide,Bonafide - Lima,,AR_Bonafide,-58.381686536595225,-34.61504668928683
9.0,Bonafide,Bonafide - Liniers,,AR_Bonafide,-58.52628903463483,-34.64034637436271
10.0,Bonafide,Bonafide - Lope de Vega,,AR_Bonafide,-58.52583481930196,-34.613560661673546
9.0,Bonafide,Bonafide - Mataderos,,AR_Bonafide,-58.505022805184126,-34.653778206557035
5.0,Bonafide,Bonafide - Medrano,,AR_Bonafide,-58.4174133092165,-34.61083486676216
1.0,Bonafide,Bonafide - Microcentro,,AR_Bonafide,-58.37593965232372,-34.60467550903559
4.0,Bonafide,Bonafide - Montes de Oca,,AR_Bonafide,-58.37510238401592,-34.636445101350546
14.0,Bonafide,Bonafide - Niceto Vega,,AR_Bonafide,-58.42926096171141,-34.59369940683246
13.0,Bonafide,Bonafide - Norte,,AR_Bonafide,-58.460903065279126,-34.55729763954878
14.0,Bonafide,Bonafide - Palermo SOHO,,AR_Bonafide,-58.42744351364672,-34.59058058448136
1.0,Bonafide,Bonafide - Paraguay,,AR_Bonafide,-58.37924866005778,-34.59765105508268
1.0,Bonafide,Bonafide - Pellegrini,,AR_Bonafide,-58.38099930435419,-34.60125803947449
6.0,Bonafide,Bonafide - Primera Junta,,AR_Bonafide,-58.44059941358864,-34.620162416249514
2.0,Bonafide,Bonafide - Recoleta,,AR_Bonafide,-58.39319773949683,-34.59531895816326
2.0,Bonafide,Bonafide - Recoleta1,,AR_Bonafide,-58.389886720106006,-34.59179436787963
2.0,Bonafide,Bonafide - Recoleta2,,AR_Bonafide,-58.40617544017732,-34.59099833853543
1.0,Bonafide,Bonafide - Retiro,,AR_Bonafide,-58.373852306976914,-34.60093407891691
4.0,Bonafide,Bonafide - Rioja,,AR_Bonafide,-58.40572206303477,-34.6365181915462
9.0,Bonafide,Bonafide - Shopping Liniers,,AR_Bonafide,-58.52663763798773,-34.64012861251831
1.0,Bonafide,Bonafide - Tribunales,,AR_Bonafide,-58.38509143330157,-34.603485614061356
1.0,Bonafide,Bonafide - Tribunales II,,AR_Bonafide,-58.38557003997266,-34.59856987930834
14.0,Bonafide,Bonafide - Vidt,,AR_Bonafide,-58.41266890056431,-34.58738842047751
11.0,Bonafide,Bonafide - Villa del Parque,,AR_Bonafide,-58.497212966904044,-34.59885997697711
11.0,Bonafide,Bonafide - Villa del Parque.,,AR_Bonafide,-58.49222598597407,-34.61276287212968
8.0,Bonafide,Bonafide - Villa Lugano,,AR_Bonafide,-58.47536947578192,-34.677264634519815
12.0,Bonafide,Bonafide - Villa Pueyrredon,,AR_Bonafide,-58.497815961018205,-34.58345152437687
12.0,Bonafide,Bonafide - Villa Urquiza,,AR_Bonafide,-58.487292900681496,-34.5747656095773
3.0,Cafe Martinez,Cafe Martinez - Abasto,,AR_Cafe Martinez,-58.41183280572295,-34.604001520201564
10.0,Cafe Martinez,Cafe Martinez - Alvarez Jonte,Servicios: Wi-Fi,AR_Cafe Martinez,-58.503924272954464,-34.618855845183134
2.0,Cafe Martinez,Cafe Martinez - Arenales,Horario: Lunes a Sabado 7:30 a 22:30 hs.  Servicios: Wi-Fi,AR_Cafe Martinez,-58.394665494561195,-34.59463734179735
7.0,Cafe Martinez,Cafe Martinez - Asamblea,,AR_Cafe Martinez,-58.436274686828256,-34.63478053919971
1.0,Cafe Martinez,Cafe Martinez - Av. Alem 699,Servicios: Wi-Fi,AR_Cafe Martinez,-58.370570205152035,-34.59952214732766
1.0,Cafe Martinez,Cafe Martinez - Av. Alem 756,Servicios: Wi-Fi,AR_Cafe Martinez,-58.371207900345325,-34.598852852359414
1.0,Cafe Martinez,Cafe Martinez - Av. Belgrano,Servicios: Wi-Fi,AR_Cafe Martinez,-58.39138062670827,-34.613743387162685
5.0,Cafe Martinez,Cafe Martinez - Av. Boedo,,AR_Cafe Martinez,-58.41643908061087,-34.62273398414254
14.0,Cafe Martinez,Cafe Martinez - Av. Cabildo 1253,Servicios: Wi-Fi y Sector Fumador,AR_Cafe Martinez,-58.44862047582865,-34.568018931895494
13.0,Cafe Martinez,Cafe Martinez - Av. Cabildo 2733,Servicios: Wi-Fi y Sector Fumador,AR_Cafe Martinez,-58.46134998835623,-34.55663999542594
13.0,Cafe Martinez,Cafe Martinez - Av. Cabildo 3565,,AR_Cafe Martinez,-58.46731069497764,-34.54994176514447
3.0,Cafe Martinez,Cafe Martinez - Av. Callao 156,Horario: Lunes a Viernes 7:30 a 21:00 hs.  Sabado 8:30 a 21:00 hs.  Domingo 9:00 a 21:00 hs.  Servicios: Wi-Fi,AR_Cafe Martinez,-58.39215813204646,-34.60734698921442
3.0,Cafe Martinez,Cafe Martinez - Av. Callao 498,Horario: Lunes a Jueves 7:30 a 21:30 hs.  Viernes 7:30 a 22:30 hs.  Sabado 8:30 a 22:30 hs.  Domingo 8:30 a 21:30 hs.  Servicios: Wi-Fi y Sector Fumador,AR_Cafe Martinez,-58.39247949421406,-34.603228624910116
2.0,Cafe Martinez,Cafe Martinez - Av. Callao 858,Servicios: Wi-Fi,AR_Cafe Martinez,-58.39306052774191,-34.59911210462451
7.0,Cafe Martinez,Cafe Martinez - Av. Carabobo,,AR_Cafe Martinez,-58.456495106220245,-34.62729927152395
2.0,Cafe Martinez,Cafe Martinez - Av. Cordoba 1499,Horario: Lunes a Viernes 8:00 a 20:30 hs.  Sabado 9:00 a 18:00 hs.,AR_Cafe Martinez,-58.38807371445,-34.599255099892616
2.0,Cafe Martinez,Cafe Martinez - Av. Cordoba 2015,Horario: Lunes a Sabado 7:30 a 22:00 hs.  Servicios: Wi-Fi y Sector Fumador,AR_Cafe Martinez,-58.3960138913244,-34.59966958500445
2.0,Cafe Martinez,Cafe Martinez - Av. Cordoba 2677,Servicios: Wi-Fi,AR_Cafe Martinez,-58.40515008196235,-34.59797392599285
5.0,Cafe Martinez,Cafe Martinez - Av. Corrientes 3799,,AR_Cafe Martinez,-58.41795519925654,-34.60339793935418
1.0,Cafe Martinez,Cafe Martinez - Av. Corrientes 450,Horario: Lunes a Viernes 7:00 a 20:30 hs.  Servicios: Wi-Fi,AR_Cafe Martinez,-58.37312350049615,-34.60323139093816
1.0,Cafe Martinez,Cafe Martinez - Av. Corrientes 927,Servicios: Wi-Fi,AR_Cafe Martinez,-58.37988861836493,-34.603517381474376
1.0,Cafe Martinez,Cafe Martinez - Av. de Mayo,Horario: Lunes a Sabado 7:00 a 21:00 hs.  Servicios: Wi-Fi y Sector Fumador,AR_Cafe Martinez,-58.37632019072771,-34.60867250338197
1.0,Cafe Martinez,Cafe Martinez - Av. Entre Rios,,AR_Cafe Martinez,-58.39152345433831,-34.620275404304266
6.0,Cafe Martinez,Cafe Martinez - Av. Gaona,Servicios: Wi-Fi,AR_Cafe Martinez,-58.45598515123129,-34.61243061348796
2.0,Cafe Martinez,Cafe Martinez - Av. Pueyrredon 1202,,AR_Cafe Martinez,-58.403186202049255,-34.596498124301434
2.0,Cafe Martinez,Cafe Martinez - Av. Pueyrredon 2231,Horario: Lunes a Viernes 8:00 a 22:00 hs.  Servicios: Wi-Fi,AR_Cafe Martinez,-58.39688166975975,-34.58735095337033
