comuna,local,name,desc,icon,long,lat
13.0,ACA,ACA - Belgrano,,AR_ACA,-58.450440019369125,-34.56682995893061
6.0,ACA,ACA - Caballito (OPESSA),,AR_ACA,-58.44679355621338,-34.608092308044434
14.0,ACA,ACA - Central,,AR_ACA,-58.39989001862705,-34.58273001015186
8.0,ACA,ACA - GNC Autodromo (OPESSA),,AR_ACA,-58.45027003437281,-34.680580012500286
7.0,ACA,ACA - GNC Floresta,,AR_ACA,-58.47171999514103,-34.631570018827915
4.0,ACA,ACA - La Boca,,AR_ACA,-58.37534001097083,-34.63413999415934
3.0,ACA,ACA - Once (OPESSA),,AR_ACA,-58.41332000680268,-34.61056002415717
14.0,ACA,ACA - Palermo,,AR_ACA,-58.421260016039014,-34.57414995878935
4.0,ACA,ACA - Velez Sarsfield (OPESSA),,AR_ACA,-58.38922002352774,-34.64490998536348
11.0,ACA,ACA - Villa Devoto,,AR_ACA,-58.50302455946803,-34.600331503897905
13.0,Axion,Axion - Belgrano..,,AR_Axion,-58.46629631705582,-34.562160233035684
6.0,Axion,Axion - Caballito,,AR_Axion,-58.44914778135717,-34.62607626803219
6.0,Axion,Axion - Caballito.,,AR_Axion,-58.45063364133239,-34.62423970922828
6.0,Axion,Axion - Caballito..,,AR_Axion,-58.42792262323201,-34.62198967114091
13.0,Axion,Axion - Colegiales,,AR_Axion,-58.46312904730439,-34.57511697895825
7.0,Axion,Axion - Flores,,AR_Axion,-58.453149972483516,-34.63115000165999
10.0,Axion,Axion - Floresta,,AR_Axion,-58.479054160416126,-34.63307624682784
10.0,Axion,Axion - Floresta.,,AR_Axion,-58.49024592898786,-34.62761149741709
3.0,Axion,Axion - GNC Balvanera,,AR_Axion,-58.40554009191692,-34.6123128477484
3.0,Axion,Axion - GNC Balvanera1,,AR_Axion,-58.411608254536986,-34.610438318923116
9.0,Axion,Axion - GNC Ciudadela,,AR_Axion,-58.529398972168565,-34.6451336145401
1.0,Axion,Axion - GNC Constitucion,,AR_Axion,-58.384500006213784,-34.62717002257705
9.0,Axion,Axion - GNC Liniers,,AR_Axion,-58.52889002300799,-34.646070040762424
9.0,Axion,Axion - GNC Mataderos,,AR_Axion,-58.51265394128859,-34.65079030953348
14.0,Axion,Axion - GNC Palermo,,AR_Axion,-58.441234678030014,-34.586777966469526
9.0,Axion,Axion - GNC Parque Avellaneda,,AR_Axion,-58.473366452381015,-34.653090219944715
12.0,Axion,Axion - GNC Villa Urquiza,,AR_Axion,-58.49666202440858,-34.56366595812142
12.0,Axion,Axion - GNC Villa Urquiza.,,AR_Axion,-58.48676098510623,-34.56782782450318
9.0,Axion,Axion - Liniers,,AR_Axion,-58.51699601858854,-34.64049607515335
9.0,Axion,Axion - Liniers.,,AR_Axion,-58.52359819225967,-34.65564485639334
13.0,Axion,Axion - Nuñez,,AR_Axion,-58.457408398389816,-34.54692712984979
14.0,Axion,Axion - Palermo,,AR_Axion,-58.40670945122838,-34.57864785566926
14.0,Axion,Axion - Palermo.,,AR_Axion,-58.443969022482634,-34.570297971367836
7.0,Axion,Axion - Parque Chacabuco,,AR_Axion,-58.4458548668772,-34.63677501305938
7.0,Axion,Axion - Parque Chacabuco.,,AR_Axion,-58.43867786228657,-34.62880021892488
4.0,Axion,Axion - Parque Patricios,,AR_Axion,-58.41233002021909,-34.640720039606094
4.0,Axion,Axion - Parque Patricios1,,AR_Axion,-58.405914260074496,-34.63372006081045
2.0,Axion,Axion - Recoleta,,AR_Axion,-58.39884462766349,-34.585881270468235
1.0,Axion,Axion - San Telmo,,AR_Axion,-58.376085748896,-34.61634018458426
10.0,Axion,Axion - Versailles,,AR_Axion,-58.515877118334174,-34.62899132631719
11.0,Axion,Axion - Villa Gral Mitre,,AR_Axion,-58.46062369644642,-34.6142381709069
10.0,Axion,Axion - Villa Luro,,AR_Axion,-58.50134021602571,-34.632148034870625
10.0,Axion,Axion - Villa Luro.,,AR_Axion,-58.50882106460631,-34.63880016468465
12.0,Axion,Axion - Villa Pueyrredon,,AR_Axion,-58.49759618751705,-34.58350005559623
