comuna,local,name,desc,icon,long,lat
7.0,Burger King,Auto King - Flores,Servicios: AutoKing; Cumpleaños; Estacionamiento - Horarios: Lunes a Jueves 8:00 a 1:00 hs. Viernes 8:00 a 3:00 hs. Sabado 9:00 a 4:00 hs. Domingo 11:00 a 1:00 hs.,AR_Burger King,-58.45439770258963,-34.62570754811168
3.0,Burger King,Burger King - Abasto Shopping,Servicios: Estacionamiento; Delivery - Horarios: Lunes a Viernes 10:00 a 1:00 hs. Sabado 10:00 a 2:00 hs. Domingo 10:00 a 00:00 hs.,AR_Burger King,-58.41127012856305,-34.6034487336874
3.0,Burger King,Burger King - Balvanera 1,Servicios: Delivery - Horarios: Lunes a Jueves 7:00 a 00:00 hs. Viernes 7:00 a 1:00 hs. Sabado 8:00 a 1:00 hs. Domingo 10:00 a 00:00 hs,AR_Burger King,-58.400303833186626,-34.599650390446186
3.0,Burger King,Burger King - Balvanera 2,Servicios: Delivery - Horarios: Lunes a Viernes 7:00 a 00:00 hs. Sabado 8:00 a 00:00 hs. Domingo 11:00 a 23:00 hs.,AR_Burger King,-58.405965473502874,-34.60633453913033
2.0,Burger King,Burger King - Barrio Norte 1,Servicios: Pelotero; Cumpleaños - Horarios: Lunes a Jueves 10:00 a 22:00 hs. Viernes a Domingo 10:00 a 00:00 hs.,AR_Burger King,-58.392007844522595,-34.599541425704956
2.0,Burger King,Burger King - Barrio Norte 3,Servicios: Cumpleaños; Delivery - Horarios: Lunes a Jueves 8:00 a 1:00 hs. Viernes 8:00 a 2:00 hs. Sabado 8:30 a 2:30 hs. Domingo 10:00 a 2:00 hs.,AR_Burger King,-58.40327672660351,-34.59411305375397
13.0,Burger King,Burger King - Belgrano,Servicios: Delivery - Horarios: Lunes a Jueves 8:00 a 1:00 hs. Viernes 11:30 a 22:30 hs. Sabado 8:30 a 2:30 hs. Domingo 10:00 a 2:00 hs.,AR_Burger King,-58.45827408134937,-34.560074899345636
13.0,Burger King,Burger King - Belgrano 2,Servicios: WiFi - Desayuno - Delivery - Zona Niños - Horarios: Lunes a Jueves 7:30 a 24:00 hs.  Viernes 7:30 a 1:00 hs.  Sabado 9:00 a 1:00 hs.  Domingo 11:00 a 1:00 hs.,AR_Burger King,-58.45265191979706,-34.5660449936986
6.0,Burger King,Burger King - Caballito,Servicios: Pelotero; Cumpleaños; Delivery - Horarios: Lunes a Jueves 8:00 a 1:00 hs. Viernes 8:00 a 2:00 hs. Sabado 9:00 a 3:00 hs. Domingo 10:00 a 1:00 hs.,AR_Burger King,-58.43033066019416,-34.61551632732153
1.0,Burger King,Burger King - Congreso,Servicios: Pelotero; Cumpleaños; Delivery - Horarios: Lunes a Viernes 7:30 a 1:00 hs. Sabado 9:00 a 2:00 hs. Domingo 10:00 a 00:30 hs.,AR_Burger King,-58.391841715201735,-34.60444794036448
12.0,Burger King,Burger King - Dot Baires,Servicios: Estacionamiento - Horarios: Domingo a Jueves 10:00 a 00:00 hs. Viernes a Sabado 10:00 a 2:00 hs.,AR_Burger King,-58.488318929448724,-34.54633126035333
7.0,Burger King,Burger King - Flores,Servicios: Cumpleaños; Estacionamiento,AR_Burger King,-58.459485517814755,-34.62771995924413
1.0,Burger King,Burger King - Galerias Pacifico,Horarios: Lunes a Jueves 10:00 a 23:00 hs. Viernes a Domingo  10:00 a 2:00 hs.,AR_Burger King,-58.375121830031276,-34.599342942237854
9.0,Burger King,Burger King - Liniers,Servicios: WiFi - Desayuno  Horarios:  Lunes a Jueves 10:00 a 23:00 hs.  Viernes y Sabado 10:00 a 24:00 hs.  Domingo 10:00 a 23:00 hs.,AR_Burger King,-58.52644535712898,-34.64017831720412
